layer,canon_corr_1,within,between,gap
0,0.7898796963318565,0.9857446590711302,-0.08877976187848588,1.074524420949616
1,0.7944576064743898,0.9866421322388272,-0.09340137266282815,1.0800435049016555
2,0.7902172203444967,0.9896596786953683,-0.08873517074255466,1.078394849437923
3,0.7997908243721701,0.9892951976250437,-0.09056555649840338,1.079860754123447
4,0.7978918234725695,0.9904946387013601,-0.09365248551718779,1.0841471242185479
5,0.8114271552389748,0.9923268366651026,-0.09047980275554156,1.0828066394206441
6,0.8173256448266791,0.99404054495172,-0.09168562364872035,1.0857261686004405
7,0.8220370758392623,0.9951852920240871,-0.09279547969244481,1.087980771716532
8,0.8270200226775711,0.9925911807679111,-0.09273191480631782,1.0853230955742288
9,0.8300369125559075,0.9937777987152906,-0.09356669998059444,1.0873444986958851
10,0.839258114803146,0.9953439269599001,-0.09437800257400178,1.089721929533902
11,0.8429422092227361,0.9949166368384091,-0.0946836440182371,1.0896002808566463
12,0.837247533627854,0.9950829057053191,-0.09347877609683204,1.088561681802151
13,0.8365239762082749,0.9954811013983454,-0.0924493599463637,1.0879304613447092
14,0.8389947518886816,0.9955289203112693,-0.09193589943459704,1.0874648197458663
15,0.8397547622517376,0.9951890686919316,-0.09177910828890407,1.0869681769808357
16,0.8353779242117236,0.992087794832266,-0.09079062233410667,1.0828784171663726
17,0.8308868126625,0.9937392065982511,-0.09171159037209949,1.0854507969703506
18,0.8313067577140749,0.9940885655896788,-0.09165274115184904,1.0857413067415278
19,0.8328943574452747,0.9942729583853936,-0.09288256109066836,1.087155519476062
20,0.8324012790498159,0.995085751181939,-0.091810087416103,1.086895838598042
21,0.8258938453353643,0.9934575646053233,-0.0921250984225502,1.0855826630278735
22,0.8328932299975733,0.9949450988105675,-0.09242992631668553,1.087375025127253
23,0.8300431754723998,0.9953245131778489,-0.09421900221148755,1.0895435153893365
24,0.8321061557554762,0.9930606518758632,-0.09354160373240383,1.086602255608267
25,0.8306265434716049,0.9940718833760068,-0.09490809883555722,1.088979982211564
26,0.8300569034190747,0.9930091297479234,-0.09370453278892599,1.0867136625368494
27,0.8275784191545192,0.993715017238641,-0.09210050474672041,1.0858155219853614
28,0.8173515833272809,0.9940544914970378,-0.09551336041599358,1.0895678519130314
