emotion,spearman_rho,p_value,significant,n_layers,probing_mean,similarity_mean
afraid,-0.15598223658181493,0.4190878366255601,False,29,0.36206896551724144,0.041034482758620705
angry,-0.10882256678666033,0.5741685420443883,False,29,0.41724137931034483,0.048620689655172425
anxious,-0.09009524243226878,0.6420866618195106,False,29,0.739655172413793,0.05931034482758621
devastated,-0.04333606830411105,0.8233712221157093,False,29,0.4982758620689655,0.015517241379310346
lonely,0.4366789043740455,0.017863355895828117,True,29,0.7275862068965516,0.2558620689655173
sad,-0.25650804076148903,0.17921445908598158,False,29,0.49137931034482757,0.5468965517241378
terrified,0.1081229770897391,0.5766470503217106,False,29,0.4224137931034482,0.10206896551724137
furious,-0.11999061053212023,0.5352627205916292,False,29,0.42758620689655175,0.014482758620689656
grateful,0.16734621976706324,0.3855649111658926,False,29,0.8310344827586206,0.08275862068965517
hopeful,0.29221858640090054,0.12399438916496698,False,29,0.8431034482758621,0.25758620689655176
faithful,0.07948972383243585,0.6818899437277205,False,29,0.5896551724137932,0.12689655172413794
